Retention,MaxLevelPassed,User_id,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC,Paying
4,107,2095,B,0,0,37,5,33,5,0,0,0,0,0,0,0,0,0,0,990,0,False
5,110,2095,B,0,0,14,3,13,2,0,0,0,0,0,0,0,0,0,0,0,0,False
6,110,2095,B,0,0,25,11,25,11,0,0,0,0,0,0,0,0,0,0,0,0,False
7,114,2095,B,0,0,16,4,14,4,0,0,0,0,0,0,0,0,0,0,0,0,False
0,14,2096,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,14,2096,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,41,2097,B,0,0,25,8,25,8,0,330,0,0,0,0,0,0,0,0,0,0,False
1,45,2097,B,0,0,10,4,10,4,0,0,0,0,0,0,0,0,0,0,0,0,False
2,45,2097,B,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,45,2097,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,49,2097,B,0,0,8,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,False
5,50,2097,B,0,0,8,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,False
6,54,2097,B,0,0,10,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,False
7,54,2097,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,0,2098,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,7,2099,B,0,0,7,7,4,4,0,0,0,0,0,0,0,0,0,0,1980,0,False
0,0,2100,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,41,2101,B,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,41,2101,B,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,41,2101,B,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,41,2101,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,41,2101,B,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,17,2102,B,0,0,19,17,15,13,0,0,0,0,0,0,0,0,0,0,2590,0,False
0,39,2103,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,43,2103,B,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,False
2,45,2103,B,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,False
3,50,2103,B,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False
4,50,2103,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,55,2103,B,0,0,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,False
6,61,2103,B,0,0,6,6,6,6,0,210,0,0,0,0,0,0,0,0,0,0,False
7,62,2103,B,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False
0,34,2104,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,34,2104,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,7,2105,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,83,2106,B,0,0,137,45,131,41,0,160,0,0,10,0,0,0,0,0,0,0,False
1,98,2106,B,0,0,89,15,83,14,0,230,0,0,20,0,0,0,0,0,0,0,False
2,100,2106,B,0,0,24,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,False
3,109,2106,B,0,0,64,9,60,5,0,0,0,0,20,0,0,0,0,0,0,0,False
4,110,2106,B,0,0,28,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,110,2106,B,0,0,14,7,14,7,0,0,0,0,0,0,0,0,0,0,0,0,False
0,15,2107,B,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False
0,19,2108,B,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,False
1,19,2108,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
