Retention;MaxLevelPassed;User_id;AB_Cohort;SumRevenue;CountBuy;CountAllStart;CountAllFinish;CountCleanStart;CountCleanFinish;Get_Ads;Get_Chapter;Get_Buy;Get_Faceb;Get_TeamL;Get_TeamT;Spend_BonLives;Spend_Bonus;Spend_Boost;Spend_Lives;Spend_Moves;Spend_TeamC
6;17;2289;A;0;0;19;17;13;11;0;0;0;0;0;0;0;0;0;0;1980;0
7;23;2289;A;0;0;13;6;9;4;0;0;0;0;0;100;0;0;0;0;990;0
0;18;2290;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;18;2290;A;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;70;2291;A;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
1;70;2291;A;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
2;70;2291;A;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
3;77;2291;A;0;0;40;7;35;4;0;0;0;0;0;0;0;0;0;0;0;0
4;77;2291;A;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
5;77;2291;A;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
6;79;2291;A;0;0;12;2;11;2;0;0;0;0;0;0;0;0;0;0;0;0
7;83;2291;A;0;0;26;4;25;3;0;0;0;0;0;0;0;0;0;0;0;0
0;8;2292;A;0;0;12;8;8;6;0;0;0;0;0;0;0;0;0;0;2590;0
1;17;2292;A;0;0;14;9;11;7;0;0;0;0;0;0;0;0;0;0;0;0
4;18;2292;A;0;0;5;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0
5;18;2292;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;11;2293;A;0;0;6;6;4;4;0;0;0;0;0;0;0;900;0;0;0;0
5;11;2293;A;0;0;9;6;9;6;0;0;0;0;0;0;0;0;0;0;990;0
0;28;2294;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;37;2294;A;0;0;22;9;20;9;0;270;0;0;0;0;0;0;0;0;0;0
2;39;2294;A;0;0;5;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0
4;42;2294;A;0;0;13;3;9;1;0;0;0;0;60;0;0;0;0;0;0;0
5;58;2294;A;0;0;40;15;36;14;0;0;0;0;30;0;0;0;0;0;0;0
6;63;2294;A;0;0;16;5;14;5;0;430;0;0;10;0;0;0;0;0;990;0
7;73;2294;A;0;0;25;10;21;9;0;0;0;0;0;0;0;0;0;0;0;0
0;25;2295;A;0;0;13;7;12;7;0;0;0;0;0;100;0;0;0;0;0;0
1;26;2295;A;0;0;5;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0
2;30;2295;A;0;0;8;3;7;2;0;0;0;0;0;0;0;0;0;0;0;0
5;32;2295;A;0;0;8;2;8;2;0;0;0;0;0;0;0;0;0;0;0;0
7;32;2295;A;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;19;2296;A;0;0;23;19;17;14;0;0;0;0;0;0;0;0;0;0;2970;0
5;19;2296;A;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
0;22;2297;A;0;0;34;22;30;19;0;0;0;0;0;100;0;0;0;0;0;0
0;8;2298;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;12;2299;A;0;0;9;5;8;4;0;0;0;0;0;0;0;0;0;0;0;0
0;22;2300;A;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
1;22;2300;A;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
2;22;2300;A;0;0;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
3;22;2300;A;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
4;31;2300;A;0;0;41;9;39;7;0;0;0;0;0;0;0;0;0;0;0;0
5;31;2300;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
